,title,budget,id,original_language,popularity,revenue,vote_average,vote_count,nsfw_score
0,Toy Story,30000000,862,en,21.946943,373554033.0,7.7,5415.0,0.000582050648518
1,Jumanji,65000000,8844,en,17.015539,262797249.0,6.9,2413.0,0.00387257919647
3,Waiting to Exhale,16000000,31357,en,3.859495,81452156.0,6.1,34.0,0.0258791893721
5,Heat,60000000,949,en,17.924927,187436818.0,7.7,1886.0,0.0209576245397
8,Sudden Death,35000000,9091,en,5.23158,64350171.0,5.5,174.0,0.00110254029278
9,GoldenEye,58000000,710,en,14.686036,352194034.0,6.6,1194.0,0.429680168629
10,The American President,62000000,9087,en,6.318445,107879496.0,6.5,199.0,0.0881244242191
13,Nixon,44000000,10858,en,5.092,13681765.0,7.1,72.0,0.0123753193766
14,Cutthroat Island,98000000,1408,en,7.284477,10017322.0,5.7,137.0,0.015456404537
15,Casino,52000000,524,en,10.137389,116112375.0,7.8,1343.0,0.0011260235915
16,Sense and Sensibility,16500000,4584,en,10.673167,135000000.0,7.2,364.0,0.00618629669771
17,Four Rooms,4000000,5,en,9.026586,4300000.0,6.5,539.0,0.0751361325383
18,Ace Ventura: When Nature Calls,30000000,9273,en,8.205448,212385533.0,6.1,1128.0,0.00135908112861
19,Money Train,60000000,11517,en,7.337906,35431113.0,5.4,224.0,0.0324658378959
20,Get Shorty,30250000,8012,en,12.669608,115101622.0,6.4,305.0,0.00217190315016
22,Assassins,50000000,9691,en,11.065939,30303072.0,6.0,394.0,0.00447055697441
24,Leaving Las Vegas,3600000,451,en,10.332025,49800000.0,7.1,365.0,0.0280984919518
26,Now and Then,12000000,9263,en,8.681325,27400000.0,6.6,91.0,0.0100450646132
28,The City of Lost Children,18000000,902,fr,9.822423,1738611.0,7.6,308.0,0.0116333989426
31,Twelve Monkeys,29500000,63,en,12.297305,168840000.0,7.4,2470.0,0.00486600166187
33,Babe,30000000,9598,en,14.404764,254134910.0,6.0,756.0,0.0731647536159
35,Dead Man Walking,11000000,687,en,6.891317,39363635.0,7.3,350.0,0.000218190441956
43,Mortal Kombat,18000000,9312,en,10.870138,122195920.0,5.4,452.0,0.000781159498729
44,To Die For,20000000,577,en,10.448481,21284514.0,6.7,177.0,0.0411620363593
45,How To Make An American Quilt,10000000,11861,en,4.485958,23574130.0,6.5,38.0,0.0114254625514
46,Se7en,33000000,807,en,18.45743,327311859.0,8.1,5915.0,0.000802862516139
47,Pocahontas,55000000,10530,en,13.280069,346079773.0,6.7,1509.0,0.0377133972943
49,The Usual Suspects,6000000,629,en,16.302466,23341568.0,8.1,3334.0,1.18431188412e-07
51,Mighty Aphrodite,15000000,11448,en,15.899134,6700000.0,6.7,145.0,0.00248804548755
68,Friday,3500000,10634,en,14.56965,28215918.0,7.0,513.0,0.00120376690757
69,From Dusk Till Dawn,19000000,755,en,15.339153,25836616.0,6.9,1644.0,0.0193641446531
70,Fair Game,50000000,11859,en,5.912223,11534477.0,4.1,54.0,0.284438669682
74,Big Bully,15000000,36929,en,2.936443,2042530.0,3.9,16.0,0.00122174574062
75,Screamers,20000000,9102,en,12.758848,5781885.0,6.1,154.0,0.0044293096289
80,Things to Do in Denver When You're Dead,8000000,400,en,4.486179,529766.0,6.7,87.0,0.00115751393605
85,White Squall,38000000,10534,en,9.568604,10300000.0,6.3,86.0,0.0339719168842
88,Nick of Time,8169363,2086,en,6.848591,8175346.0,6.1,190.0,7.29408857296e-05
90,Mary Reilly,47000000,9095,en,12.866139,12379402.0,5.7,77.0,0.00385712576099
91,Vampire in Brooklyn,14000000,12158,en,9.071127,19800000.0,4.5,113.0,0.0406222045422
93,Broken Arrow,50000000,9208,en,14.957626,150270147.0,5.7,459.0,0.000252457393799
99,Bottle Rocket,7000000,13685,en,6.904831,560069.0,6.8,285.0,0.000117759860586
102,Happy Gilmore,12000000,9614,en,9.592265,41205099.0,6.5,767.0,0.00132336013485
103,The Bridges of Madison County,24000000,688,en,5.951077,182016617.0,7.3,397.0,0.0387990996242
108,Braveheart,72000000,197,en,20.755149,210000000.0,7.7,3404.0,0.000347616296494
109,Taxi Driver,1300000,103,en,14.092713,28262574.0,8.1,2632.0,0.00606556935236
110,Rumble in the Bronx,7500000,33542,cn,12.314278,32392047.0,6.5,245.0,0.0121309198439
117,Steal Big Steal Little,25000000,78406,en,1.522412,6278139.0,5.1,7.0,0.0189287737012
120,Boomerang,40000000,11066,en,6.506983,70100000.0,5.4,139.0,0.00348441908136
123,Flirting with Disaster,7000000,2074,en,5.579088,14702438.0,6.3,66.0,0.022977668792
